album_id,path id,song id,Page Title,Embed Link,Song Color,music_page_section,Song Length,Alt Tab Status?,Alt Tab Name,Theme,Album Art,Cover Art Labels,track number,Release Date,Artists,Vocalists,Mixing,Mastering,Instrumentals,Listen Text,Listen Links,Close Up
aa,decree,DECREE,Decree,HDZ6osLVxZE,FEE0F8,,,,,aa,aa.png,Anew Again,1,04/16/2016,Jamie Paige,,Jamie Paige,Marcy Nabors,Jamie Paige,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/decree | https://on.soundcloud.com/dssFkRfKyghceVfCgF | https://youtu.be/HDZ6osLVxZE | https://open.spotify.com/track/1VnwGXfk8QTetKpRT4Bq08 | https://music.apple.com/us/song/decree/1119933460,
aa,space-center,SPACE_CENTER,Space Center,3QtK39spo7A,9EC7CD,,,,,aa,aa.png,Anew Again,2,04/16/2016,Jamie Paige,,,,,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/space-center | https://youtu.be/3QtK39spo7A | https://open.spotify.com/track/7MH1r1RRDolShe1QqCZDeL | https://music.apple.com/us/song/space-center/1119933461,
aa,skygirl,SKYGIRL,Skygirl,QFvhifQKKy8,F2CBC6,,,,,aa,aa.png,Anew Again,3,04/16/2016,Jamie Paige,,,,,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/skygirl | https://youtu.be/QFvhifQKKy8 | https://open.spotify.com/track/59nXgVCJRDNZwY1WfOL4vS | https://music.apple.com/us/song/skygirl/1119933462,
aa,imaginary-effervescent,IMAGINARY_EFFERVESCENT,"Imaginary, Effervescent",Pa37clNloS8,E9FCE8,,,,,aa,aa.png,Anew Again,4,04/16/2016,Jamie Paige,,,,,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/imaginary-effervescent | https://soundcloud.com/jamieirl/imaginary-effervescent-anew-again-acapellas-and-instrumentals-in-description | https://youtu.be/Pa37clNloS8 | https://open.spotify.com/track/4014HgCJhx0k9GAGVzc7f0 | https://music.apple.com/us/song/imaginary-effervescent/1119933463,
aa,adelaide-delays,ADELAIDE_DELAYS,Adelaide Delays (feat. Natbird & Marcy Nabors),Wmlp3hiD6QA,8A1E01,,,,,aa,aa.png,Anew Again,5,04/16/2016,Jamie Paige,,,,,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/adelaide-delays-feat-natbird-marcy-nabors | https://youtu.be/Wmlp3hiD6QA | https://open.spotify.com/track/1BPK3ky2B4ltRbxLPciVfB | https://music.apple.com/us/song/adelaide-delays-feat-natbird-marcy-nabors/1119933464,
aa,song-for-jijo,SONG_FOR_JIJO,Song for Jijo,msyAeMUtmFc,A7E6D1,,,Main Tab,Original,aa,aa.png,Anew Again,6,04/16/2016,Jamie Paige,,,,,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/song-for-jijo | https://youtu.be/msyAeMUtmFc | https://open.spotify.com/track/35zZ9DSTwD9zpEUGqc2tNk | https://music.apple.com/us/song/song-for-jijo/1119933468,
aa,grand-restore,GRAND_RESTORE,Grand Restore (feat. Marcy Nabors & GUMI English),-yH6wwLtxnY,8FEA8A,Singles,,Main Tab,Original,gr,gr.jpg | aa.png,Single | Anew Again,7,04/16/2016,Jamie Paige,,,,,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/grand-restore-feat-marcy-nabors-gumi-english | https://soundcloud.com/jamieirl/grand-restore-feat-marcy-nabors-gumi-english | https://youtu.be/-yH6wwLtxnY | https://open.spotify.com/track/4pKUs7uyRRgtj11JvbFK98 | https://music.apple.com/us/song/grand-restore-feat-marcy-nabors/1119933469,
aa,space-center-pt-2,SPACE_CENTER_PT2,Space Center [pt. 2],cw41RXs2vJ4,A2E9CF,,,,,aa,aa.png,Anew Again,8,04/16/2016,Jamie Paige,,,,,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/space-center-pt-2 | https://youtu.be/ql4DEQMondE | https://open.spotify.com/track/62wLbTkq5OFBgkDMKNdcsX | https://music.apple.com/us/song/space-center-pt-2/1119933470,
aa,good-time-lead-line,GOOD_TIME,"Good Time, Lead Line",ql4DEQMondE,DAF9FE,,,,,aa,aa.png,Anew Again,9,04/16/2016,Jamie Paige,,,,,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/good-time-lead-line | https://youtu.be/ql4DEQMondE | https://open.spotify.com/track/6n2sC44NyeL8MAFjJdeQUR | https://music.apple.com/us/song/good-time-lead-line/1119933471,
aed,automated-answering-service,AUTOMATED_ANSWERING_SERVICE,Automated Answering Service,S3T9IMfoTdE,DDDED9,,,Main Tab,Original,aed,aed.png,Autumn Every Day,1,09/22/2017,Jamie Paige,Honor DeVabb,,Marcy Nabors,,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/automated-answering-service | https://youtu.be/S3T9IMfoTdE | https://open.spotify.com/track/1nE0gPt5GpmJroQxqm6bVH | https://music.apple.com/us/song/automated-answering-machine/1362736289,
