Motif Name,Motif ID,Motif Image,is variation,Type?,Has Page,reference link,motif color,variation letter,Song Name,Song ID,Song File,Embed Type,Embed Link,Song Color,Song ID,Motif ID,Start Time,End Time,Definition,Variation,Variation Letter,Song ID,Motif Id,Start Time,End Time,Lyrics,Song ID,Motif Id,Start Time,End Time
Paisley Pudge,paisley-pudge,../public/images/motif-art/paisley-pudge.png,TRUE,Motif,TRUE,,F391CC,A,Dyad,DYAD,../music/cc/dyad.html,youtube,9KfKbr_wiNQ,FA4333,GUMMYWORM,gummyworm,0:20,0:31,TRUE,TRUE,B,NOT_QUITE_THERE,GUMMYWORM,2:04,2:06.5,"(Oh gummyworm, gotta make it hurt)",OBJECT_OF_AFFECTION,jya,1:02,1:02
Paisley Pudge,paisley-pudge,,TRUE,Motif,TRUE,,734590,B,Not Quite There,NOT_QUITE_THERE,../music/cc/not-quite-there.html,youtube,r0sXI02NJ5M,66BDE6,GUMMYWORM,gummyworm,0:33,0:43,FALSE,TRUE,B,OBJECT_OF_AFFECTION,HOLD_ME_TIGHTLY,1:09,1:11,hold me tight,STREETCAT,let-the-bass-go,0:18,0:19
Kalia Vibte,kalia-vibte,../public/images/motif-art/kalia-vibte.png,FALSE,Motif,TRUE,,B1785B,,ROT FOR CLOUT,ROT_FOR_CLOUT,../music/cc/rot-for-clout.html,youtube,1e8NADa_gEI,F7393B,GUMMYWORM,gummyworm,2:02,2:14,TRUE,TRUE,A,OBJECT_OF_AFFECTION,HOLD_ME_TIGHTLY,2:38,2:40,hold me tight,STREETCAT,let-the-bass-go,0:47,0:48
Errianna Nollau,erri-nollau,../public/images/motif-art/errianna-nollau.png,FALSE,Motif,TRUE,,FFFFFF,,I Wish That I Could Fall,I_WISH_THAT_I_COULD_FALL,../music/cc/i-wish-that-i-could-fall.html,youtube,crdr5HNJemk,FFFE16,GUMMYWORM,gummyworm,2:14,2:26,FALSE,TRUE,A,OBJECT_OF_AFFECTION,HOLD_ME_TIGHTLY,3:55,3:56,hold me tight,STREETCAT,let-the-bass-go,0:58,0:59
Constant Companions,constant-companions,../public/images/cover-art/cc.png,FALSE,Motif,TRUE,,FA0B06,,Cadmium Colors,CADMIUM_COLORS,../music/cc/cadmium-colors.html,youtube,1U6qefKcOrg,FB6B1D,GUMMYWORM,gummyworm,3:39,3:51,FALSE,TRUE,A,PAISLEY_PATTERNS,pp-alliteration,0:34,0:35,paisley patterns,STREETCAT,let-the-bass-go,1:10,1:13
Gummyworm,gummyworm,../public/images/motif-art/gummyworm.png,TRUE,Motif,TRUE,,4BE22A,A,Breeze Blows,BREEZE_BLOWS,../music/cc/breeze-blows.html,youtube,8eM5H7gEoDY,547BD2,GUMMYWORM,gummyworm,3:51,4:03,FALSE,TRUE,A,PAISLEY_PATTERNS,GENTLE_HEART,1:04,1:05,gentle heart,STREETCAT,let-the-bass-go,1:13,1:15
Gummyworm,gummyworm,../public/images/motif-art/gummyworm.png,TRUE,Motif,TRUE,,F7EC6F,B,Aggrandicize,AGGRANDICIZE,../music/cc/aggrandicize.html,youtube,0qgkuWx3qxw,00E8EA,GUMMYWORM,gummyworm,4:05,4:15,FALSE,TRUE,B,PAISLEY_PATTERNS,pp-alliteration,1:40,1:41,paisley patterns,STREETCAT,let-the-bass-go,1:15,1:19
Space Center,space-center,../public/images/cover-art/aa.png,TRUE,Motif,TRUE,,9EC7CD,A,Liaison,LIAISON,../music/cc/liaison.html,youtube,xV9RHi0Gr4w,FF9B55,GUMMYWORM,gummyworm,4:17.1,4:29.10,FALSE,TRUE,B,PAISLEY_PATTERNS,pp-alliteration,2:35,2:36,paisley pudge,STREETCAT,let-the-bass-go,1:19,1:21
Space Center,space-center,../public/images/cover-art/aa.png,TRUE,Motif,TRUE,,9EC7CD,B,Object of Affection,OBJECT_OF_AFFECTION,../music/cc/object-of-affection.html,youtube,FCd-BHRjz6o,E3C97D,NOT_QUITE_THERE,gummyworm,1:33,1:43,FALSE,TRUE,A,PAISLEY_PATTERNS,GENTLE_HEART,3:05,3:05,gentle heart,STREETCAT,let-the-bass-go,1:21,1:25
Jya~,jya,../public/images/motif-art/jya.png,FALSE,Sample,TRUE,,FCE73E,,Clouddrop,CLOUDDROP,../music/cc/clouddrop.html,youtube,f3yFpxbP0pc,000000,NOT_QUITE_THERE,gummyworm,2:03,2:06.5,FALSE,TRUE,B,PAISLEY_PATTERNS,BITTERSWEET,3:19,3:20,bittersweet,STREETCAT,let-the-bass-go,1:25,1:27
Let The Bass Go,let-the-bass-go,../public/images/motif-art/letthebassgo.png,FALSE,Sample,TRUE,,1F1F1F,,"My Darling, My Companion",MY_DARLING_MY_COMPANION,../music/cc/my-darling-my-companion.html,youtube,D-vfGlcyQ28,9AB00A,NOT_QUITE_THERE,gummyworm,3:15,3:26,FALSE,TRUE,A,,,,,,STREETCAT,let-the-bass-go,1:27,1:30
PP Aliteration,pp-alliteration,../public/images/cover-art/pjscpfp.jpg,FALSE,Lyrical,TRUE,,F391CC,,Machine Love,MACHINE_LOVE,../music/cc/machine-love.html,youtube,mrLI2gw4Emo,DC4468,NOT_QUITE_THERE,gummyworm,3:26,3:42,FALSE,TRUE,A,,,,,,STREETCAT,let-the-bass-go,1:30,1:33
Where Hearts Thaw,where-hearts-thaw,,FALSE,Motif,TRUE,,FFFFFF,,BIRDBRAIN,BIRDBRAIN,../music/cc/birdbrain.html,youtube,Cn__J8t7agk,FECC35,NOT_QUITE_THERE,bittersweet-kalia-vibte,2:11,2:16,FALSE,FALSE,,,,,,,STREETCAT,let-the-bass-go,1:33,1:39
The Patterns of Clouds,patterns-of-clouds,,FALSE,Motif,TRUE,,FFFFFF,,Shiny Chariot,SHINY_CHARIOT,../music/cc/shiny-chariot.html,youtube,WXeeY5JVBGU,91DB69,NOT_QUITE_THERE,constant-companions,4:16,4:23,FALSE,FALSE,,,,,,,STREETCAT,let-the-bass-go,1:56,1:57
Autumn Every Day,autumn-every-day,,FALSE,Motif,TRUE,,FFFFFF,,Strawberry,STRAWBERRY,../music/cc/strawberry.html,youtube,CQBbYjMWorc,C82A0B,DANCE_DELIGHTFUL,gummyworm,3:33,3:38,FALSE,TRUE,A,,,,,,STREETCAT,let-the-bass-go,2:07,2:09
On Fire,on-fire,,FALSE,Motif,TRUE,,FFFFFF,,Manifesto,MANIFESTO,../music/cc/manifesto.html,youtube,g7rbq4XSOeg,F7393B,SPACE_CENTER,space-center,0:18,0:32,TRUE,TRUE,A,,,,,,STREETCAT,let-the-bass-go,2:20,2:21
Jijo,jijo,,FALSE,Motif,TRUE,,FFFFFF,,Dance Delightful,DANCE_DELIGHTFUL,../music/cc/dance-delightful.html,youtube,sxO1RG9q30I,DE7F46,SPACE_CENTER,space-center,0:33,0:49,TRUE,TRUE,B,,,,,,STREETCAT,let-the-bass-go,2:30,2:32
Decree,decree,,FALSE,Motif,TRUE,,FFFFFF,,dyad with vox.mp3,DYAD_DEMO,../music/cc/dyad.html#demo,youtube,,C6C6C6,SPACE_CENTER,space-center,1:10,1:24,FALSE,TRUE,A,,,,,,STREETCAT,let-the-bass-go,2:42,2:46
,,,,,,,,,all i ever do is watch wip 2.mp3 / not quite there.mp3,NOT_QUITE_THERE_DEMO,../music/cc/not-quite-there.html#demo,youtube,,C6C6C6,SPACE_CENTER,space-center,1:25,1:42,FALSE,TRUE,B,,,,,,STREETCAT,let-the-bass-go,2:46,2:48
