Path,Page Title,Song Length,Alt Tab Status?,Alt Tab Name,Theme,Album Art,Cover Art Labels,album_id,track number,Appears on Text,appears_on_enabled,Release Date,release_date_enabled,Artists,artists_enabled,Vocalists,vocalists_enabled,Listen Text,Listen Links,listen_enabled,Close Up,close_up_enabled
aa/decree.html,Decree,,,,aa,aa.png,Album,aa,1,"1/9 - Anew, Again",TRUE,04/16/2016,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/decree | https://on.soundcloud.com/dssFkRfKyghceVfCgF | https://youtu.be/HDZ6osLVxZE | https://open.spotify.com/track/1VnwGXfk8QTetKpRT4Bq08 | https://music.apple.com/us/song/decree/1119933460,TRUE,,FALSE
aa/space-center.html,Space Center,,,,aa,aa.png,Album,aa,2,"Anew, Again - 2/9",TRUE,04/16/2016,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/space-center | https://youtu.be/3QtK39spo7A | https://open.spotify.com/track/7MH1r1RRDolShe1QqCZDeL | https://music.apple.com/us/song/space-center/1119933461,TRUE,,FALSE
aa/skygirl.html,Skygirl,,,,aa,aa.png,Album,aa,3,"Anew, Again - 3/9",TRUE,04/16/2016,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/skygirl | https://youtu.be/QFvhifQKKy8 | https://open.spotify.com/track/59nXgVCJRDNZwY1WfOL4vS | https://music.apple.com/us/song/skygirl/1119933462,TRUE,,FALSE
aa/imaginary-effervescent.html,"Imaginary, Effervescent",,,,aa,aa.png,Album,aa,4,"Anew, Again - 4/9",TRUE,04/16/2016,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/imaginary-effervescent | https://soundcloud.com/jamieirl/imaginary-effervescent-anew-again-acapellas-and-instrumentals-in-description | https://youtu.be/Pa37clNloS8 | https://open.spotify.com/track/4014HgCJhx0k9GAGVzc7f0 | https://music.apple.com/us/song/imaginary-effervescent/1119933463,TRUE,,FALSE
aa/adelaide-delays.html,Adelaide Delays (feat. Natbird & Marcy Nabors),,,,aa,aa.png,Album,aa,5,"Anew, Again - 5/9",TRUE,04/16/2016,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/adelaide-delays-feat-natbird-marcy-nabors | https://youtu.be/Wmlp3hiD6QA | https://open.spotify.com/track/1BPK3ky2B4ltRbxLPciVfB | https://music.apple.com/us/song/adelaide-delays-feat-natbird-marcy-nabors/1119933464,TRUE,,FALSE
aa/song-for-jijo.html,Song for Jijo,,,,aa,aa.png,Album,aa,6,"Anew, Again - 6/9",TRUE,04/16/2016,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/song-for-jijo | https://youtu.be/msyAeMUtmFc | https://open.spotify.com/track/35zZ9DSTwD9zpEUGqc2tNk | https://music.apple.com/us/song/song-for-jijo/1119933468,TRUE,,FALSE
aa/grand-restore.html,Grand Restore (feat. Marcy Nabors & GUMI English),,,,gr,gr.jpg | aa.png,Single | Album,aa,7,"Anew, Again - 7/9",TRUE,04/16/2016,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/grand-restore-feat-marcy-nabors-gumi-english | https://soundcloud.com/jamieirl/grand-restore-feat-marcy-nabors-gumi-english | https://youtu.be/-yH6wwLtxnY | https://open.spotify.com/track/4pKUs7uyRRgtj11JvbFK98 | https://music.apple.com/us/song/grand-restore-feat-marcy-nabors/1119933469,TRUE,,FALSE
aa/space-center-pt-2.html,Space Center [pt. 2],,,,aa,aa.png,Album,aa,8,"Anew, Again - 8/9",TRUE,04/16/2016,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/space-center-pt-2 | https://youtu.be/ql4DEQMondE | https://open.spotify.com/track/62wLbTkq5OFBgkDMKNdcsX | https://music.apple.com/us/song/space-center-pt-2/1119933470,TRUE,,FALSE
aa/good-time-lead-line.html,"Good Time, Lead Line",,,,aa,aa.png,Album,aa,9,"Anew, Again - 9/9",TRUE,04/16/2016,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/good-time-lead-line | https://youtu.be/ql4DEQMondE | https://open.spotify.com/track/6n2sC44NyeL8MAFjJdeQUR | https://music.apple.com/us/song/good-time-lead-line/1119933471,TRUE,,FALSE
aed/automated-answering-service.html,Automated Answering Service,,,,aed,aed.png,Album,aed,1,Autumn Every Day - 1/13,TRUE,09/22/2017,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/automated-answering-service | https://youtu.be/S3T9IMfoTdE | https://open.spotify.com/track/1nE0gPt5GpmJroQxqm6bVH | https://music.apple.com/us/song/automated-answering-machine/1362736289,TRUE,,FALSE
aed/a-repetition.html,A Repetition,,,,aed,aed.png,Album,aed,2,Autumn Every Day - 2/13,TRUE,09/22/2017,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/a-repetition | https://soundcloud.com/jamieirl/a-repetition | https://youtu.be/lu6ERpeHU9c | https://open.spotify.com/track/1uZr58N7ZjWq39ZlLdVVuS | https://music.apple.com/us/song/a-repetition/1362736290,TRUE,,FALSE
aed/to-atlantis.html,To Atlantis,,,,aed,aed.png,Album,aed,3,Autumn Every Day - 3/13,TRUE,09/22/2017,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/to-atlantis-2 | https://soundcloud.com/jamieirl/to-atlantis | https://youtu.be/kDHWcv0whNY | https://open.spotify.com/track/6Bcmy7JYOpCjWkB9aqLbOU | https://music.apple.com/us/song/to-atlantis/1362736291,TRUE,View Close-up,TRUE
aed/its-2013-again.html,It's 2013 Again,,,,aed,aed.png,Album,aed | jpjp3,4 | 3,Autumn Every Day - 4/13,TRUE,09/22/2017,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/its-2013-again-feat-oddeeo | https://soundcloud.com/jamieirl/its-2013-again-feat-oddeeo | https://youtu.be/IIM_-lvemOI | https://open.spotify.com/track/560i70Fv3AJa2FmrwmR2r7 | https://music.apple.com/us/song/its-2013-again-feat-oddeeo/1362736292,TRUE,,FALSE
aed/too-much-autotune.html,Too Much Autotune,,,,aed,aed.png,Album,aed,5,Autumn Every Day - 5/13,TRUE,09/22/2017,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/too-much-autotune | https://soundcloud.com/jamieirl/too-much-autotune-1 | https://youtu.be/c31Q6JVun_c | https://open.spotify.com/track/0LmWtinCvCmo6P310RM5mC | https://music.apple.com/us/song/too-much-autotune/1362736293,TRUE,,FALSE
aed/special-days.html,Special Days,,,,sd,sd.png | aed.png,Single | Album,aed,6,Autumn Every Day - 6/13,TRUE,02/19/2017,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud | YouTube - Topic | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/special-days | https://soundcloud.com/jamieirl/special-days | https://youtu.be/e3bMsygBZP4 | https://open.spotify.com/track/6ajEggtON5g3OVUqzNeI2P | https://music.apple.com/us/song/special-days/1362736294,TRUE,,FALSE
aed/amelie.html,Amélie,,,,aed,aed.png,Album,aed,7,Autumn Every Day - 7/13,TRUE,09/22/2017,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud | Spotify | Apple Music,https://jamiepaige.bandcamp.com/track/am-lie | https://youtu.be/-938cNPfNcA | https://open.spotify.com/track/3kxGOjG0CVtQRVQvl1dT9d | https://music.apple.com/us/song/am%C3%A9lie/1362736295,TRUE,,FALSE
aed/secret-girlfriend.html,Secret Girlfriend,,,,aed,aed.png,Album,aed,8,Autumn Every Day - 8/13,TRUE,09/22/2017,TRUE,Jamie Paige,TRUE,,FALSE,Bandcamp | SoundCloud,https://jamiepaige.bandcamp.com/track/secret-girlfriend | https://soundcloud.com/jamieirl/secret-girlfriend,TRUE,,FALSE
aed/bizarre-love-triangle.html,Bizarre Love Triangle,,,,aed,aed.png,Album,aed,9,Autumn Every Day - 9/13,TRUE,20XX,TRUE,Jamie Paige,TRUE,,FALSE,Music Links Here,,TRUE,View Close-up,TRUE
aed/pass.html,Pass,,,,aed,aed.png,Album,aed,10,Autumn Every Day - 10/13,TRUE,20XX,TRUE,Jamie Paige,TRUE,,FALSE,Music Links Here,,TRUE,View Close-up,TRUE
aed/honor-majesty.html,Honor Majesty,,,,aed,aed.png,Album,aed,11,Autumn Every Day - 11/13,TRUE,20XX,TRUE,Jamie Paige,TRUE,,FALSE,Music Links Here,,TRUE,View Close-up,TRUE
aed/autumn-every-day.html,Autumn Every Day,,,,aed,aed.png,Album,aed,12,Autumn Every Day - 12/13,TRUE,20XX,TRUE,Jamie Paige,TRUE,,FALSE,Music Links Here,,TRUE,View Close-up,TRUE
