theme_id,theme_name,Header,Background,meta_theme_color,accent_hover,link_default,brand_frame,background_base,text_error,text_base_black,text_primary,text_karaoke_next,text_transcript_muted,text_info,text_motif_help,text_muted,border_segment,border_empty_state,border_input,border_pill,surface_track,border_card_soft,surface_highlight,shadow_soft,transparent_value,keyword_white
default,Default,logo.png,critterwhitegreenred.png,#F05E55,#d94a40,#ef8a85,#351854,#ffffff,#8a1f1f,#000000,#111111,#2f2f2f,#4f4f4f,#4f4f4f,#4f4f4f,#666666,#999999,#a09aa7,#b8b8b8,#cccccc,#d3d3d3,#eeeeee,#ffe754,"rgba(0,0,0,0.15)",transparent,white
default-dark,Default Dark,ccdelogo.png,critterccde.png,#92CB1C,#82B419,#E2385A,#FFFFFF,#000000,#8a1f1f,#FFFFFF,#EEEEEE,#D0D0D0,#B0B0B0,#AAA,#AAAAAA,#999999,#666666,#555555,#4f4f4f,#333333,#2f2f2f,#111111,#ffe754,"rgba(255,255,255,0.15)",transparent,black
grayscale,Grayscale,logo-bw.png,critterccii.png,#888888,#666666,#888888,#2f2f2f,#ffffff,#8a1f1f,#000000,#111111,#2f2f2f,#4f4f4f,#4f4f4f,#4f4f4f,#666666,#999999,#b8b8b8,#b8b8b8,#cccccc,#d3d3d3,#eeeeee,#ffe754,"rgba(0,0,0,0.15)",transparent,white
aa,Anew Again,aalogo.png,critteraa.png,#6fd6b2,#58bb98,#ef8a85,#82C3C1,#ffffff,#8a1f1f,#000000,#111111,#2f2f2f,#4f4f4f,#4f4f4f,#4f4f4f,#666666,#999999,#a09aa7,#b8b8b8,#cccccc,#d3d3d3,#eeeeee,#ffe754,"rgba(0,0,0,0.15)",transparent,white
hmt,Hold Me Tightly,aedlogo.png,critterhmt.png,#079392,#09787e,#f095de,#fff2b3,#0e021f,#8a1f1f,#FFFFFF,#EEEEEE,#D0D0D0,#B0B0B0,#AAA,#AAAAAA,#999999,#666666,#555555,#4f4f4f,#333333,#2f2f2f,#111111,#ffe754,"rgba(255,255,255,0.15)",transparent,black
aed,Autumn Every Day,aedlogo.png,critteraed.png,#EC302F,#9F1A1A,#DC5A44,#5C5574,#F4F5E7,#8a1f1f,#000000,#111111,#2f2f2f,#4f4f4f,#4f4f4f,#4f4f4f,#666666,#999999,#a09aa7,#b8b8b8,#cccccc,#d3d3d3,#eeeeee,#ffe754,"rgba(0,0,0,0.15)",transparent,white
smots,SMOTS,SMOTBG.png,crittersmots.png,#F0AEDC,#C36BA8,#6F8BD5,#7E27A7,#FFD584,#8a1f1f,#000000,#111111,#2f2f2f,#4f4f4f,#4f4f4f,#4f4f4f,#666666,#999999,#a09aa7,#b8b8b8,#cccccc,#d3d3d3,#eeeeee,#ffe754,"rgba(0,0,0,0.15)",transparent,white
cc,Constant Companions,cclogo.png,crittercc.png,#D5380E,#A22100,#4E6200,#153103,#ffffff,#8a1f1f,#000000,#111111,#2f2f2f,#4f4f4f,#4f4f4f,#4f4f4f,#666666,#999999,#a09aa7,#b8b8b8,#cccccc,#d3d3d3,#eeeeee,#ffe754,"rgba(0,0,0,0.15)",transparent,white
sd,Special Days,aedlogo.png,crittersd.png,#F05E55,#d94a40,#ef8a85,#351854,#ffffff,#8a1f1f,#000000,#111111,#2f2f2f,#4f4f4f,#4f4f4f,#4f4f4f,#666666,#999999,#a09aa7,#b8b8b8,#cccccc,#d3d3d3,#eeeeee,#ffe754,"rgba(0,0,0,0.15)",transparent,white
r4c,ROT FOR CLOUT,r4clogo.png,critterr4c.png,#000000,#555555,#FFFFFF,#000000,#FF3B3C,#8a1f1f,#000000,#111111,#2f2f2f,#4f4f4f,#4f4f4f,#4f4f4f,#666666,#999999,#a09aa7,#b8b8b8,#cccccc,#d3d3d3,#eeeeee,#ffe754,"rgba(0,0,0,0.15)",transparent,white
